continuing_examiner,Declarative_Text
"ij inclusion of stem, expanded tobaccos, reduce j i circumference so you burn less, filter ventilation, | etcetera. So there's a number of general reduction techniques that have been both invented and \ implemented by not just Reynolds but the industry [ over the course of a couple decades, j When did the implementation of those techniques \ start? i They started roughly in the 1950's so filters became j popular and became more and more implemented from [ about 1950 onwards, Winston, in 1954, was the first \ largely very popular filtered cigarette. So really, j post '54, filters became more and more prevalent. j And I would say the use or increased use of reconstituted tobacco became more prevalent as well \ during that period. The use of stems started in the j 50's, expanded tobacco in the 1960's, filter \ ventilation in the late 60's, early 70's, so a number | of techniques were developed, implemented, tested \ utilized and then put out in the market. Let me follow up on the testing component. I'll j first ask you was the fact that Reynolds and other manufacturers were using things like filters and then incorporated reconstituted tobacco, expanded tobacco, porous paper, filter ventilation, was that fact only 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 O Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A known to the cigarette, manufacturers, that the companies were using those things? No. Many of them were patented. Did outside either government agencies or members of the public health community evaluate those various technologies that the companies implemented? Many did. Certainly, reconstituted tobacco was known quite widely to the public. I mean, it was in the Reader's Digest articles all throughout the 50's. Certainly, all of those techniques that we talked about that were implemented in the 50!s, 60's, and 0s, were evaluated by the federal government and the NCI, TWG program, so the National Cancer Institute studied each of those techniques to try to make a determination did it produce lower biological activity. So all of the stuff has been evaluated, it's been known, it's been openly disclosed for decades. And you made reference that the public health community in the 50's, 60's, and 70fs and up until the switch in 2000, the early 2000's, recognized that the epidemiology studies were showing reduced risk with lower yielding products; is that right? vx U i I C w L * And those lower yielding products would have employed 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 a> Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING the technology that you and I have just been discussing, correct?",That is correct.
"And at the time that those technologies were being evaluated in the 50's, 60's, 70's, and 80's, including from the National Cancer Institute and Tobacco Working Group, were the conclusions at the vj L X ILtvZ* W 1 1 C* L VX JL \ X \r X 1 \*3 V Q CX y W vU X. v ? L* X X v? LV ^ ^ L* v? IX lw X- W X IX 3 X X vI3 X X I** O of those technologies when they were implemented? A, The conclusions at the time was that it should provide a benefit for public health purposes, so that's why they were continued to be implemented and X X X \rnir <CJ* \** C* X \*> X X vi* vx",
"The -- just briefly, National Cancer Institute and Tobacco Work Group, I want to touch on that just briefly. What was that effort and when did it take place?","That effort was basically a ten-year program kicked off by the federal government through the National Cancer Institute to basically study ways -- the objective of the NCI, TWG explicitly was ways to make a safer cigarette."
"Were representatives from the cigarette companies, did thev narti rinafp ""in that pfffsr-f-?","They did. 3RD AVENUE NORTH * BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 file:///rnir v^mmm FREEDOM COURT REPORTING"
o .ft.,
"A Did members of the public health community participate in that effort? They did, yes. Can you just briefly summarize for us what the conclusions that the NCI, TWG reached after conclusion of its research program with respect to the effect of the design techniques we talked about, filtration, reconstituted tobacco, expanded, and others, what was their effect on smoke chemistry as well as potential biological activity effect? Well, in most cases, or many cases, those technologies were evaluated favorably through the NCI, TWG, specifically through the massive animal testing that was done. They did an awful lot of mouse skin painting testing, which was really the best technique they had available at the time. All were very positive, especially for reconstituted tobacco, expanded, filter dilution as well. They did massive chemistry studies, tried to understand the effects of tar in nicotine yields, through the implementation of those technologies, again favorable in terms of yield reduction in most cases. So, really, I think the overall conclusion, and there's five large reports on the subject, hundreds if not thousands of pages which really summarize all 3RD AVENUE NORTH BIRMINGHAM, AL 35203 205-397-2397 a> G5 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 0. i\, Pagc234 of those findings and make recommendations on how to best maximize and implement those technologies and products. I want to fast forward a little bit to the 2000s timeframe and come back to the issue of what has been done to try to make safer cigarettes in the current decade so to speak. You talked about techniques that were implemented. Did Reynolds research on. trying to make safer products stop in the 60's, 70's, and 80's, or did it continue after that time? Oh, no, it continued. It's still going on today inside of Reynolds' R&D laboratories? It is still today. If Reynolds wanted today to make a change to one of its cigarettes because it thought it had a potential to make smoking less risky or it wanted to make a change for any reason whatsoever, could it do that on its own? No. Why not? Because we're regulated by the FDA. And does the FDA allow Reynolds or any other cigarette manufacturers to make any change to its products without receiving FDA approval? 3RD AVENUE NORTH -BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 9. 7V Page 235 j You cannot make changes. They have change control f authority over the products, so you cannot make any J changes. And the FDA has been very explicit, at f least to us, about what change means, which means | anything about the product. So we can't make changes. j j! And their approval process, is that as.simple as j picking up the phone and giving them a call and j saying, hey, is this okay, or is it a little bit more | involved than that? i It's quite a bit more involved than that, to be | frank, j What just to the extent you remember, doctor \ what sorts of information would Reynolds have to submit, both the different types and quantity of | information, if it wanted to seek FDA approval for a f change? j Well, there's a couple of ways to try to get new products on the market, But, if I wanted to make a change, I would have to try to make a substantially equivalent argument with a predicate product. So as OvJU-ilotlXVw^X. XLIt>xlL*XL/Xls^ \+\ v? d X X X t* X 0.lj\s [A \*> KA J*. 0.1L \X XCtLilv2Xt2LA > products, if I wanted to make a change to a grandfathered product, I would have to make that product, I would have to provide the data, I would | 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A, have to show them the specs, I'd have to show them what differences there are, I would have to provide assurance to the FDA through data collection that there is no other questions of public health that would be raised by making a change in the product. The amount of data collection and the amount of interplay back and forth once you make a submission like that with the FDA and us ends'up --these submissions end up to be thousands of pages with the appendices and they are large endeavorers to undertake. Let me ask you about additives. You were asked some questions about additives. Is -- In addition to the disclosures on the website, ReynoldsV website that you talked about earlier? Uh-huh. Does Reynolds have to disclose its additives it uses to anyone else? Sure. We've Reynolds, and all the tobacco companies, have made additive disclosures to the health and human services department of the U.S. government since about 1986, so going on 30 years. We also make additive discloses to certain states that ask for them, as well as the FDA, which not only doesn't just want the list of additives, but they 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 7. . Q* want the formula, so they get the Coke formula. With respect to the department of health and human services disclosure since 1986, what is your understanding, if you know, doctor, as to what obligation DHHS has, if it has concerns, about an additive the company indicated they are using? If they had a concern about an additive that the companies were using, they were to notify congress and get that additive removed. That was the authority they had with obtaining the list. In the I guess almost 30 years that Reynolds and the other manufacturers have been providing their additive information to DHHS, to your knowledge, have they ever notified congress that they had a concern about one of the additives? Not to this point. FDA Does FDA have oversight over the additives that Reynolds uses? Certainly, they do. Okay. If they issue either a product standard or some other ruling in which they do not want Reynolds to use a particular additive, do they have that authority to prohibit the use of certain additives? They do. In the -- You told us the FDA bill was signed in 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 -205-397-2397 m O i L. Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 2009, so we're almost seven years out. In the seven years that Reynolds has been subject to FDA regulation, has the FDA ever ordered Reynolds or any other manufacturer to stop using an ingredient? Not to this point that I'm aware of, at least. You mentioned ammonia and ammonia containing compounds, or those were discussed with Mr, Gale. Has the FDA either issued a product standard or prohibited the use of ammonia or ammonia containing compounds in a cigarer,Le Not that I'm aware of. You were asked some questions about menthol and I want to come back to menthol, but has the FDA banned the use of menthol in the cigarettes? They have not. Let's talk a little bit about reconstituted tobacco. You had some discussions on that and you talked about how that was made. Let me ask you a few questions. Reconstituted tobacco sheet, as compared to the in-feed materials, in-feed tobacco that goes into making that, how does the nicotine level compare in finished reconstituted tobacco sheet as it relates to the in-feed materials that go in to making it? Well, it's always less, and the reason for that is you're basically talking small parts of the tobacco 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 w o ro Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i\ .",
:,". plant, then you're doing that extraction, and then you're replying the extract later after you make the | paper. You can never get 100 percent back on and it i stick, so there's always a small reduction in both the -- all the solubles that go back on in recon. So | there's a reduction, j How does the nicotine content of a reconstituted tobacco sheet compare to the nicotine content of the \ other major blend components like flu-cured tobacco, burley tobacco, etcetera? \Jil f JL {* & JL \2 & K) + You were asked some questions does Reynolds use reconstituted tobacco sheet to either maintain i nicotine or slightly dial nicotine. Does that make any sense to you? ' j No, it doesn't. If you did not incorporate reconstituted tobacco sheet into the blend of some cigarettes and instead used the lamina, the flu-cured or burley, which would have more nicotine, the reconstituted tobacco sheet j or without reconstituted tobacco sheet? i; Without reconstituted tobacco sheet. I mean, we make those products, same as that company makes products. They don't have any reconstituted sheet and those products are consistently higher. 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 & O co *-;:.- Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A, You were asked some questions about Ph as it relates to reconstituted tobacco sheet and I want to make sure we understand, The in-process Ph modifiers that Reynolds uses, does that have anything whatsoever to do with the smoke Ph of cigarettes? It doesn't. U \J\Z* O \"" V 11 \J X VA C* XlLC* A. %i! O VJULw X U X ill Q \J X X w w \J 110 1 1 t U L. .vt vl tobacco sheet without ammonia? Yes What is the purpose or what is the consequence of using ammonia in some types of reconstituted tobacco sheet; what does that do? Well, yeah. Well, in some types of reconstituted tobacco sheet, you end up getting more what you would call smoky or nutty roasted flavors developing. Ammonia sugar chemistry is quite a well known phenomenon in food and other industries and these reactions, called mallard reactions, happen when ammoniated compounds and sugars react, And they're pleasant from an aroma standpoint and a taste standpoint. So that's another reason to use them. And there is plenty of ammonia in tobacco. There is ammonia in tobacco, but added ammonia will help propagate those kind of reactions. If ammonia has the benefit or the consequence of 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING i\. Pagc241 increasing certain flavorful compounds, why don't you use it in all forms of reconstituted tobacco sheet and all cigarettes? Well, it doesn't always -- it's not one shoe fits everything. Specifically, for menthol products, those nutty dark aromas don't really go that well with menthol products, so that's one where the shoe doesn't fit. With respect to ammonia, are you aware of any public health authority, whether it's the FDA or anyone else, that has concluded that a cigarette with added ammonia is more dangerous or addictive than a cigarette without added ammonia? Never have I seen any documentation which would suggest that. Okay. And I apologize, looping back to reconstituted tobacco sheet. Have you seen that the FDA or any other government or public health authority, to your knowledge, concluded that the use of reconstituted tobacco sheets make cigarettes more dangerous or more addictive than they already are? Certainly nothing on addictive. Quite the opposite. I mean, the government agency and CTI-TWG concluded that the use of reconstituted tobacco was ~- gave lower chemistry and lower biological activity, so it 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 o cn Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING would be the opposite."
"Now, I want to switch topics a little bit, but I want to stay on the same sort of topic. You were asked some questions about carcinogens in tobacco and tobacco smoke. Let me first start out with does Reynolds add carcinogens to its cigarettes?","No, we do not."
"To your knowledge, has it ever done so?","Not that I'm aware of, no."
Why are there carcinogens present in tobacco smoke?,"Carcinogens are in tobacco smoke because when you burn organic material, you generate carcinogens through the combustion.-- through incomplete combustion. That's,what I was trying to explain before. You burn anything, any organic material, really, you're going to form things like benzine and PAH's and other things that are known to be carcinogenic. So it's the consequence of the burning is why you have such a high amount of carcinogens. Now, there are some carcinogens that are in tobacco from the degradation of nicotine and those things are called nitrosamines, the ones in tobacco are specific to tobacco, tobacco specific nitrosamines, and z~i mere s a coupie or rnose mar. are carcinogenic. /\nct they are there before you set it on fire. And 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Page 243 J there's heavy metals in tobacco. Why? Because they're in the soil and it's a growing plant and it picks them up, so things like cadmium, which may be a carcinogen, can be found in tobacco and in tobacco smoke, but that is, again, inherent in the tobacco."
"In your opinion, doctor, and as someone who is in charge of cigarette product development at Reynolds, does anything Reynolds does to the cigarettes increase the amount of carcinogens in cigarettes?","No, and we specifically, through our product stewardship program, when we do new designs or issue out new products or try to make- changes to the product, we specifically look to make sure that we don't increase that risk. That's what the whole point of the stewardship program is about."
"As it relates to general reduction in the techniques x / tfiat we discussed and m e overall eiions TO reduce tar and nicotine over time, did those general reduction techniques have an effect on the carcinogens and the yield of carcinogens in cigarette smoke?","Yeah. I mean, general reduction techniques generally reduce everything to do with tar, and specifically the toxicants and carcinogens in that tar, so it serves to reduce them. W.'.WWW.IJWJRWHH 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 http://WWW.IJWJRWHH FREEDOM COURT REPORTING"
"Okay. Now, I want to contrast that market with Reynolds VUSE product. How is VUSE different than what you described, the overall e-cigarette market, 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 , CD O Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING to be. How does VUSE compare?","Well, VUSE is quite different in that -- and, look, there's not anything necessarily wrong with this, but most of those devices are made in China and the quality control can, at times, be suspect. Then, of course, there's some very fine products that come out of China at the same time. But, for Reynolds, what we felt was important was we felt it was very important for us to have control over the cartridge manufacture for VUSE and the e-liquid manufacturing, and control over that production. So we automated a means by which we could make those cartridges. Now what -- the cartridges in China -- and we've been over there a bunch -- are made by hand, literally by groups of individuals, men and women, sitting at long tables -assembling these cartridges by hand, so we felt that that' was a quality control issue. Certainly, it's fine to have a hand crafted chair, it's quite another thing to have a hand crafted assembled part, and it's never the quality control is never as good as you can get when you can automate and have machines do it. So we automated and invented automated equipment to make our cartridges. We have a proprietary and unique system by which the cartridge connects to a battery, so you 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING can only use a VUSE cartridge with a VUSE battery. We implemented battery safety controls, over-charge protection, so that the battery, lithium-ion battery, so that it doesn't explode on charging, which I'm sure people have seen that happen with lithium-ion batteries. In fact, I was watching the TV the other night. Those hoverboards that everybody wants for Christmas, they seem to be blowing up all the time. That's a lithium-ion battery malfunction. So if you don't have the proper battery control systems in place from the charging mechanism perspective, they can catch fire. So, we've instituted those types of control. So a whole variety of those type of quality controls we've put in place in the manufacture of VUSE as well as parts testing and stewardship of the product. So -- I'm sorry. I don't mean to ramble on and on about it. Where is VUSE assembled and manufactured? t\lCjliL. Up L.iie S L I 6 6 L 111 lODuCCOVlJ . J .6 < XIIC C o I L l l Q y j 6 o are made in Tobaccoville. The e-liquid is made at Bowman Gray Technical Center at R&D. The batteries are made in China. You can't get a lithium-ion battery in the United States, apparently, so we do get our catteries rrom enma, rrom wnat we oeiieve is a pretty carefully selected manufacturer. i l . , . . ; ! . . ^ . . . ! ^ 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 o en CD Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING And the current VUSE cartridge, can consumers go down to the Vape shop and try to refill that on their own or is that a system that is, if not tamper proof, very difficult to tamper with? It's difficult to -- It would be very difficult to tamper with and, as I said, the cartridge itself, once the time runs out on that cartridge, it shuts off, it can't be shut back on. So even if somebody wanted to, say, use a syringe and jam some liquid msiQc a vubJii carrriQge, ii it was an expiree cartridge, you could put the liquid in there but you couldn't use it, because the VUSE battery recognizes that cartridge is dead. You've got two --you've got a battery chip and you've got a cartridge chip and they talk to one another and it helps control that system, so it's pretty clever in that sense. Are you aware of any other e-cigarettes manufactured that has that kind of technology that VUSE has? Not that I'm aware of, no. One other issue on how VUSE may be different from another -- you mentioned in response to Mr. Gale's question about people cranking the voltage up on some of these e-cigarettes. What safeguards did Reynolds put in place with VUSE with respect to that issue?"
"What are one of the -- some of the potential concerns if people were to be able to increase the voltage on the e-cigarettes? I realize they can't do it with VUSE, but other e-cigarettes that they crank the voltage up, what are some of the potential issues with doing that?","Well, you can You know, look, when you start getting if you start applying more energy to the system, you're likely.to create more heat and if you start to break that heat threshold, you can start to char and you can start to burn and you can start to potentially combust the e-liquid itself. So, you know, there's not a lot of magic in the e-liquid. There's glycerin and propylene glycol and flavors and 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Q A Q A nicotine. And when you burn glycerin, you're going to make potential toxicants, I mean, there's glycerin is cigarettes, it's an organic compound. What happens when you start to burn things is you start to make toxicants and carcinogens potentially. So the idea in the power regulation is to make sure that you're regulating the power sufficient to make an aerosol, our you oon *c want tuEt WICK to get very hot and that was you avoid degradation of the e-liquid to form potential toxicants. That doesn't say -- it doesn't mean it won't happen, but you want to minimize that potential as much as possible. That safeguard and the other safeguard you talked about, including product stewardship and making sure you're using quality ingredients and stuff, are there any existing today current regulations that require Reynolds to adopt or pursue all of those safeguards? None at all. In fact, the FDA has considered e-cigarettes to be a deemed product, but have yet to issue their guidance or their regulations yet. So right now, it's in essence an unregulated product. And despite the fact it was unregulated, Reynolds took all those additional steps voluntarily? We did. We believe that this was a potential significant benefit for potentially public health, 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 CD O Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING A j \ . certainly a significant benefit and step for our migration philosophy. So we wanted to make sure we didn't do things - we knew the FDA was going to come and regulate those products, but we wanted to make sure we were doing everything as the best way we i could prior to that, to set the standard for the j industry. | And are there any -- We talked about cigarette package warnings that have been on since 1966. \ Currently, are any warnings -- federal warnings required to be on e-cigarettes, including VUSE? There are no requirements, no. Does Reynolds nonetheless provide a voluntary warning? j We did. We put a voluntary nicotine warning on VUSE because it contains nicotine, so we used the -- j basically the California -- the state of California type warning on our VUSE pouchs. Does the warning indicate that VUSE contains nicotine and nicotine is addictive? x \2 o i; Does it also counsel against use of VUSE by pregnant women and others who may be sensitive to nicotine exposure? We did. 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 g 1.1 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING x < Page 260 I And that's all voluntarily placed by R.J. Reynolds? j Correct. 'j You were asked some questions by Mr. Gale about whether you consider it safe or not, You made reference to without long term epidemiological, you couldn't quantify the long-term risk. Let me ask you this question: Based on the data that we do have, the chemistry data that you referred to earlier and Reynolds' safeguards that it has used and any other data of which you're aware, is there anything in your | opinion that would indicate that VUSE has the potential to be more harmful than the traditional | tobacco products? Not that I've seen, no. I've seen just the opposite. Let's talk about what does the data -- What does the date suggest to you as the potential for VUSE to be less risky than traditional tobacco products? I mean, I think it has a very high potential of doing that. I mean, looking at the aerosol chemistry, very difficult to find anything in there, and it's hard to -- you know, when the levels get so low that you have to change all your methodology to try to get down even further to try to find stuff, you know you're -- I think you know you're heading in the right direction. That's where we are with VUSE. We 2015 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING 1. studied it using conventional cigarette methodologies and we cannot find toxicants and carcinogens at sufficient enough quantity to be above detection limits. That doesn't mean they're not necessarily there, but they're at much lower levels. So we have gone through, and continue to go through, significant efforts to go and see smaller and smaller quantities \J L> v7 v j LX CI 1 i. L- d 1 V a*L 1 L. X1 vZ* #1- KHZ JL O CX I 1 V L*. 1 1 JL A 1 y X*. A A \ 3 JL vl* v X. IX \J v- O *-A with VUSE products, we have a difficult time seeing anything. If we get better and better methods, maybe we will find the presence of toxicants and carcinogens. That doesn't rule out that it still wouldn't be lower risk than cigarettes, again, if it does question to me. And it looks like a pretty straightforward, pretty clean aerosol."
"And you mentioned earlier Reynolds' migration strategy. Is VUSE electronic cigarette part of Reynolds' migration strategy? y /\. ouxe, yes.",
"Can you just briefly remind us the migration strategy .*..v,.r:jand where #y.utth.ink,,y.USE and the other products that R'eynolds has fit into that strategy compared to conventional tobacco burning cigarettes?","Well, I mean, I think that conventional tobacco burning cigarettes are the most risky. I think the 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 a> Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING next with a little bit lower risk are probably products like Eclipse. Although it's not definitively proven, we do know that it produces lower exposures of carcinogens and toxicants to smokers who use them, so it's probably lower in risk. Certainly, it's well known, at least well known to the public health community, that all smokeless tobacco products are significantly lower in risk than smoking cigarettes, even though tobacco consumers don't necessarily know that, but they are significantly lower in risk. So all of our smokeless products, including Snus and moist snuff, would be lower on the risk continuum. Then, it's hard to say.' I think I would argue to put -- until we know better -- VUSE is either somewhere around the smokeless products -- it could be a lot lower, unlikely to be higher -- but, you are inhaling an aerosol, so I don't know if that may not have longer term effects, but certainly I would say it's going to be -- likely to be much lower than burning cigarettes. Then finally you would have nicotine replacement therapies, I think as low on the risk continuum next to quitting, and of course NRT's would include things like Zonnic gum that we make and 5 Nivonovum. ;i:i, i .fl , ifl^j|),i , i | i j j j ,j,i .^^ 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 ro Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING"
"You made reference that you read, I believe -- and J correct me if I'm wrong. You made reference that you I read that some reports say that 80 to 90 percent of j smokers are addicted; is that what you said you'd f read? I",Yeah. I believe I've read that. I f
"Under other definitions or other criteria, do you | I know if the figures for addicted smokers using a f I different criteria may be even as low as 50 percent? j","There would have been, yes. There was a number of .| different studies in that vein. \ f"
"Let me ask you this: And I want to -- You mentioned j that, again, you're not a psychologist, psychiatrist, f i pharmacologist, but with respect to your own tobacco I use, does -- in your view, I know you're not an | expert, but your personal -- your own personal views, | does being addicted mean that a person can't quit j using a substance? f 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING /i / i * l \ i Pagc267 j Does being addicted mean that a person can't make the \ decision to try to quit smoking? I Certainly not. j Does being addicted mean that a person loses control l over their smoking and becomes an involuntary smoker? Certainly not. Does being addicted to smoking mean that a person looses the ability to hear, read, and understand warnings about -- that are on the pack about the dangers of cigarette smoking? No, I don't believe that is the case. You made reference to this in one of your answers. Do you know how -- and if you don't know this, certainly, tell me, doctor -~ but, do you know how many tens of millions of people have quit smoking in this country over the past five or six decades? There's more than 40 million. You mentioned prevalence rates earlier and I think j i you said the adult percentage, the last time you looked, was somewhere around 17 or 18 percent. Are millions of smokers continuing to quit smoking every year? Yeah. Sure. You were asked some questions about dopamine and I \ think you made reference to this, but is the release 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 g Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 mm FREEDOM COURT REPORTING Pi of dopamine in the brain something that leads to cigarette smoking? No, I don't believe so. i If this is outside of your area, tell me, doctor, but do you know if dopamine is released if you eat a good meal, watch a beautiful sunset, or engage in sports activities you might enjoy? j i oeiieve i resriiieo. no mar earlier, rnar mar s exactly what happens, I don't know about the sunset so much, but I know eating a good meal and doing a variety of activities, sports activities, for instance, will release dopamine. If you happen to be enjoying this interaction we're having now, do you think dopamine is being released? I think so. Let's talk about denicotinized cigarettes just: briefly. First of all, is there a consensus within the public health community as to what level of nicotine would be nonaddictive? There is not, although there is studies trying to determine that. There is not at this point in time. Do you know if the FDA is funding studies on that very issue? They are. Yes, they are. Where does the FDA get its money to fund research on 3RD AVENUE NORTH BIRMINGHAM, AL 35203 - 205-397-2397 CD O Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING x\ . Page 269 I addiction in the tobacco industry? The FDA gets their money solely from the tobacco industry for this purpose. And would that include Reynolds and before the merger Lorillard as well as Philip Morris and other cigarette companies? wvJX.X.wwL'* Do you have a -- Do you send them a check for a couple of thousand dollars a month or what is the magnitude of the user fees that Reynolds has paid to the FDA over time? Well, give the indication this year, I think it's going to be about $180 million that Reynolds -- just Reynolds will pay to the FDA, and that goes on every year, and I think the -- I think the overall number gets capped in another five years or so. But it's hundreds of millions of dollars will be required to run the regulatory agency for tobacco out to infinity. And one of the things that FDA is doing with that money is funding research, looking to see if a non addictive level could be -- or is knowable? I believe that is correct, yes. Okay. Is Reynolds, now, let's say Reynolds wanted to | make a change to its cigarettes to reduce nicotine, 3 R D A V E N U E N O R T H - B I R M I N G H A M , A L 35203 - 205-397-2397 CO Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING could it do that without FDA approval? Can't do it. Let's talk about Mr. Gale's hypothetical denicotinized cigarette that doesn't have any nicotine in it whatsoever. If a smoker continued to U L L - L |^y,^.^j..-,,L. t.T^Milr^ f h a l "" Y\& a o a f o _1_^__y,_^i_j__o DC L l l u L p i U U U L > ( . ( W^UJ-Vl C11CIL X/C! a. O d i v 1 - i y a l C L L C . Not at all. Why? Well .-- and we know this because there have been denicotinized cigarettes made they still make carcinogens. When you set them on fire, they are going to maKe carcinogens and toxicants DO, 11 you smoked a cigarette that didn't contain nicotine and continued to smoke that cigarette, you're still going to expose yourself to the things that cause -- that are likely to cause disease, so it's not safe in any way. Let's talk a little bit about the role of nicotine. You were talking with Mr. Gale about nicotine and it enters the body and makes its way to the brain and i c i u c i o c o caupcuuxxit? , u u c o i i X L U L i i l u lldvcJ ctiiy o u i J o u x y properties or contribute anything else to cigarette It does. There is a taste to nicotine. It does provide a physical reaction when it hits your throat. 3RD AVENUE NORTH- BIRMINGHAM, AL 35203- 205-397-2397 g 4s. n . i\. A k t Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Q . A Q A Page 271 j There's a catch with nicotine in your throat, so it's known. You have a sensory reaction to nicotine. It's a bit of a bitter taste that is expected when i you siuoKe cigaremes . \ And you had mentioned that at various points in time, efforts have been made to test market cigarettes with variable yields of nicotine, whether they were called denicotinized, but very, very low yields of nicotine. How did, if you know, doctor, how did consumers perceive or evaluate those cigarettes in terms of the taste and acceptability? They were not received well, There was.a Benson and Hedges de-nic and I think a Merit de-nic. There was, of course, the Quest cigarettes that came out with the genetically modified tobacco that had very, very j low nicotine and, in theory, no nicotine, and well there was still a little bit of nicotine in there, but, no, not received well. Was that due in part to the fact that nicotine was not present or was not in there significant enough to contribute to the sensory properties and taste | properties? Well, part of it. Again, on the Philip Morris side and the stuff that they did, they used an extraction technique and when they do that, they're removing a 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 CD Ol Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING bunch of flavor compounds as well as the nicotine. On the Quest side, the GMO tobaccos, if you change the genetic make up of the tobacco, you're likely going to shift all those ratios of amino acids and alkaloids so you probably have a bit of a different taste in those products as well. So it's a hard nut to crack, really. It's a difficult proposition to get right, and to my mind, it hasn't been gotten right yet.",
